bucket_1,bucket_2,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
[missing or nonfinite],value: 3,5031,238,4793,0.047306698469489164,1.1908545870230123,0.041777941100954924,0.0535262432999352,False
[missing or nonfinite],value: 6,5119,240,4879,0.046884157061926154,1.1802179247810234,0.041425304541568404,0.05302256442138737,False
[missing or nonfinite],value: 12,4940,202,4738,0.04089068825910931,1.0293439461072198,0.03571561780797182,0.04677923204062766,False
[missing or nonfinite],value: 24,4970,162,4808,0.032595573440643864,0.8205304830873219,0.0280083986153299,0.03790473141403494,False
[missing or nonfinite],value: 36,5046,158,4888,0.031311930241775664,0.7882172496356366,0.026851770344952463,0.036485160413936714,False
[missing or nonfinite],value: 60,4989,156,4833,0.03126879134095009,0.7871313112888632,0.026788376951925943,0.0364704830430589,False
"[0.996645, 3.368008]",value: 3,16140,259,15881,0.016047087980173482,0.40395438590745075,0.014220487916172477,0.0181040031383138,False
"[0.996645, 3.368008]",value: 6,16299,259,16040,0.015890545432235108,0.4000137302010096,0.01408164452850055,0.01792758896241035,False
"[0.996645, 3.368008]",value: 12,16099,241,15858,0.014969873905211505,0.37683760617272505,0.013206457185565925,0.016964706087892467,False
"[0.996645, 3.368008]",value: 24,16068,275,15793,0.017114762260393327,0.4308310197707571,0.01522168728265514,0.019238673730720204,False
"[0.996645, 3.368008]",value: 36,16174,274,15900,0.01694076913564981,0.42645107956324246,0.01506358188537661,0.019047363028094025,False
"[0.996645, 3.368008]",value: 60,16211,268,15943,0.01653198445499969,0.41616071629955165,0.014680571924532418,0.018612473844165273,False
"(3.368008, 3.654337]",value: 3,16180,329,15851,0.02033374536464771,0.5118626901107038,0.01827014395247051,0.022625057628979112,False
"(3.368008, 3.654337]",value: 6,16020,314,15706,0.019600499375780275,0.49340464130346817,0.017566233113293868,0.02186510177880733,False
"(3.368008, 3.654337]",value: 12,16141,320,15821,0.019825289635090764,0.49906330107214003,0.01778623930784253,0.022092842841269132,False
"(3.368008, 3.654337]",value: 24,16471,330,16141,0.02003521340537915,0.5043477257490031,0.01800456755209184,0.02228968720477387,False
"(3.368008, 3.654337]",value: 36,16024,336,15688,0.020968547179231155,0.527842597337474,0.018862228305922872,0.02330448893776152,False
"(3.368008, 3.654337]",value: 60,16154,346,15808,0.021418843630060667,0.5391779390827103,0.019297424944608555,0.023767823627986445,False
"(3.654337, 3.8604]",value: 3,15959,400,15559,0.025064227081897362,0.6309434130118907,0.022750848533071424,0.02760619227913999,False
"(3.654337, 3.8604]",value: 6,16252,379,15873,0.02332020674378538,0.58704107599208,0.021110131449338532,0.025755572842290495,False
"(3.654337, 3.8604]",value: 12,16033,423,15610,0.026383084887419698,0.6641431060395141,0.02401340598187978,0.028979663819484282,False
"(3.654337, 3.8604]",value: 24,16292,392,15900,0.024060888779769214,0.6056863128953861,0.02181765352854732,0.026528512627496583,False
"(3.654337, 3.8604]",value: 36,16175,403,15772,0.02491499227202473,0.6271867154694708,0.022623407526551582,0.027432182725812822,False
"(3.654337, 3.8604]",value: 60,16280,431,15849,0.026474201474201473,0.6664367897848074,0.024117597242016894,0.029054221030119478,False
"(3.8604, 4.035451]",value: 3,16095,438,15657,0.027213420316868592,0.6850451936279066,0.024810365277604864,0.029842105278816533,False
"(3.8604, 4.035451]",value: 6,16283,466,15817,0.028618804888534053,0.7204230305483713,0.026166923415855414,0.031293048868326005,False
"(3.8604, 4.035451]",value: 12,16171,507,15664,0.03135242100055655,0.7892365261310649,0.028775785438015705,0.03415166033707909,False
"(3.8604, 4.035451]",value: 24,16143,429,15714,0.026574986062070247,0.6689738467481496,0.024204260222980077,0.02917097486672148,False
"(3.8604, 4.035451]",value: 36,16246,453,15793,0.027883786778283886,0.7019203720146981,0.025461549034869177,0.030529240852303324,False
"(3.8604, 4.035451]",value: 60,16052,460,15592,0.02865686518813855,0.7213811249374084,0.02618650554628545,0.03135276831800385,False
"(4.035451, 4.200245]",value: 3,16168,504,15664,0.031172686788718457,0.7847120651659775,0.02860331793424124,0.033964786099996626,False
"(4.035451, 4.200245]",value: 6,16104,549,15555,0.03409090909090909,0.8581726643400651,0.0313975046695363,0.037006537028882756,False
"(4.035451, 4.200245]",value: 12,16247,495,15752,0.03046716316858497,0.7669518733438633,0.027933369865095654,0.033222937722980225,False
"(4.035451, 4.200245]",value: 24,16173,497,15676,0.030730229394670128,0.7735740565052266,0.02817979208615286,0.033503538455273964,False
"(4.035451, 4.200245]",value: 36,15977,485,15492,0.030356136946861113,0.7641570030676176,0.02780665933532457,0.03313139961045003,False
"(4.035451, 4.200245]",value: 60,16322,505,15817,0.030939835804435732,0.7788504922450782,0.028391811653670634,0.033708598997623886,False
"(4.200245, 4.365204]",value: 3,16209,528,15681,0.0325744956505645,0.8199998905113781,0.029950466061050215,0.035420028155685665,False
"(4.200245, 4.365204]",value: 6,15993,511,15482,0.031951478771962735,0.804316646241982,0.02933619146112009,0.034791559098978304,False
"(4.200245, 4.365204]",value: 12,16131,568,15563,0.035211704172091005,0.886386511569314,0.03247623936404581,0.0381684869401943,False
"(4.200245, 4.365204]",value: 24,16248,550,15698,0.03385032003938946,0.8521163005510247,0.031177965792110674,0.036743042520555554,False
"(4.200245, 4.365204]",value: 36,16224,524,15700,0.03229783037475345,0.8130353775897659,0.029686252947588337,0.03513083695865808,False
"(4.200245, 4.365204]",value: 60,16185,553,15632,0.03416743898671609,0.8600991563679318,0.03147747452364701,0.03707847876329947,False
"(4.365204, 4.542077]",value: 3,16188,655,15533,0.040462070669631825,1.0185543277440359,0.037534162056330034,0.04360802687641571,False
"(4.365204, 4.542077]",value: 6,16109,597,15512,0.03706002855546589,0.932914501081583,0.03425145785129796,0.04008933808354671,False
"(4.365204, 4.542077]",value: 12,16058,613,15445,0.03817411881928011,0.9609595675086244,0.035319163002364734,0.04124998144933206,False
"(4.365204, 4.542077]",value: 24,16165,629,15536,0.038911227961645534,0.979514863729277,0.03603799713408328,0.04200355346398469,False
"(4.365204, 4.542077]",value: 36,16188,596,15592,0.03681739560168026,0.9268066860083135,0.03402465017356849,0.039829917996579055,False
"(4.365204, 4.542077]",value: 60,16282,587,15695,0.03605208205380175,0.9075413984594524,0.033296336447327005,0.03902669713978647,False
"(4.542077, 4.747692]",value: 3,16021,778,15243,0.0485612633418638,1.2224358298769993,0.04533969742834691,0.05199926613201311,False
"(4.542077, 4.747692]",value: 6,16343,832,15511,0.0509086459034449,1.2815266432585246,0.047642908620174534,0.054385453435097805,False
"(4.542077, 4.747692]",value: 12,16156,849,15307,0.05255013617231988,1.3228479841993674,0.04921457212525491,0.05609843253245849,False
"(4.542077, 4.747692]",value: 24,16211,645,15566,0.03978779840848806,1.001580828407503,0.03688635034824104,0.04290730425557001,False
"(4.542077, 4.747692]",value: 36,16114,706,15408,0.04381283356087874,1.102903299203996,0.040759837049665494,0.04708328154893921,False
"(4.542077, 4.747692]",value: 60,16146,658,15488,0.04075312770964945,1.0258811254789035,0.03781104328226275,0.04391368833111326,False
"(4.747692, 5.033374]",value: 3,15990,1433,14557,0.08961851156973108,2.2559726008742875,0.08528925904119619,0.094144897925388,False
"(4.747692, 5.033374]",value: 6,16289,1489,14800,0.09141138191417521,2.301104642269986,0.08708146312591476,0.095933971373779,False
"(4.747692, 5.033374]",value: 12,16213,1414,14799,0.0872139641028804,2.1954427716269453,0.08296811811374427,0.09165537228736548,False
"(4.747692, 5.033374]",value: 24,16074,767,15307,0.04771680975488366,1.2011783449939246,0.0445281201608066,0.051121626278072284,False
"(4.747692, 5.033374]",value: 36,16009,832,15177,0.05197076644387532,1.308263472470115,0.04863858069129595,0.0555179154002807,False
"(4.747692, 5.033374]",value: 60,16415,864,15551,0.05263478525738654,1.3249788611047586,0.049322211243580764,0.056156696215526054,False
"(5.033374, 7.44563]",value: 3,16050,1874,14176,0.1167601246105919,2.939210185288657,0.11188339820769812,0.12182025885434826,False
"(5.033374, 7.44563]",value: 6,16407,1896,14511,0.11556043152313038,2.909010233433112,0.11075832710475139,0.12054251559399151,False
"(5.033374, 7.44563]",value: 12,16161,1830,14331,0.11323556710599592,2.8504862707613823,0.10844168897993833,0.11821326882798,False
"(5.033374, 7.44563]",value: 24,16106,1003,15103,0.062274928598038,1.5676508142992573,0.05864623138470471,0.06611238054565893,False
"(5.033374, 7.44563]",value: 36,16308,1032,15276,0.06328182487122884,1.592997479451953,0.05964696738190343,0.0671223777003773,False
"(5.033374, 7.44563]",value: 60,15959,989,14970,0.061971301459991225,1.5600075886718998,0.05833501473399337,0.06581841145477421,False
