bucket,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
"[42880.85, 1.014381e+08]",100000,3982,96018,0.03982,1.0023914411579609,0.0386256482577152,0.04104970563458173,False
"(1.014381e+08, 2.452518e+08]",100000,3945,96055,0.03945,0.9930774071743234,0.03826107280783771,0.04067430951016254,False
"(2.452518e+08, 4.621399e+08]",100000,3929,96071,0.03929,0.9890497168030207,0.03810342743974106,0.040511967170455215,False
"(4.621399e+08, 7.949485e+08]",100000,3995,96005,0.03995,1.0056639395846443,0.03875374908756307,0.041181594817324585,False
"(7.949485e+08, 1.317795e+09]",100000,3883,96117,0.03883,0.9774701069855255,0.03765022723596999,0.040045202714289865,False
"(1.317795e+09, 2.183161e+09]",100000,3968,96032,0.03968,0.998867212083071,0.03848769743402773,0.04090766721394072,False
"(2.183161e+09, 3.760561e+09]",100000,4008,95992,0.04008,1.0089364380113277,0.038881853402365524,0.04131348051511287,False
"(3.760561e+09, 7.062467e+09]",100000,4038,95962,0.04038,1.0164883574575203,0.03917749195605658,0.041617818913554254,False
"(7.062467e+09, 1.692633e+10]",100000,4037,95963,0.04037,1.016236626809314,0.03916763704207318,0.04160767459579992,False
"(1.692633e+10, 1.397543e+13]",100000,3940,96060,0.0394,0.9918187539332912,0.03821180805139225,0.04062357810791925,False
