bucket,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
[missing or nonfinite],30095,1156,28939,0.03841169629506563,0.9669401207064977,0.03629861036002401,0.04064260553325479,False
"[0.996645, 3.368008]",96991,1576,95415,0.016248930313121836,0.40903537603830925,0.015472196255830127,0.01706398207444233,False
"(3.368008, 3.654337]",96990,1975,95015,0.020362924012784823,0.5125972061116381,0.01949286672940315,0.021270973524303276,False
"(3.654337, 3.8604]",96991,2428,94563,0.025033250507779072,0.6301636377036897,0.024068714510485877,0.026035408407060697,False
"(3.8604, 4.035451]",96990,2753,94237,0.0283843695226312,0.7145215738862478,0.02735776892911714,0.02944832696265069,False
"(4.035451, 4.200245]",96991,3035,93956,0.03129156313472384,0.7877045471296119,0.03021428846403562,0.03240596398928018,False
"(4.200245, 4.365204]",96990,3234,93756,0.03334364367460563,0.839361703577234,0.03223213024169422,0.03449212112810385,False
"(4.365204, 4.542077]",96990,3677,93313,0.03791112485823281,0.9543392034797433,0.03672739049995103,0.03913146144524705,False
"(4.542077, 4.747692]",96991,4468,92523,0.046066129847099214,1.1596256726771357,0.044764745426688006,0.0474034701646135,False
"(4.747692, 5.033374]",96990,6799,90191,0.07010001031034127,1.764632103469887,0.06851017837197326,0.07172389478405733,False
"(5.033374, 7.44563]",96991,8624,88367,0.08891546638347889,2.238274798828921,0.08714048285432924,0.0907230117331122,False
