bucket,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
[other: 80 pooled levels],796904,31640,765264,0.03970365313764268,0.9994626340501618,0.039277157912519844,0.04013458603891776,False
value: 292,10275,393,9882,0.038248175182481754,0.9628237931398804,0.034708958870736,0.042132527787558445,False
value: 265,10233,425,9808,0.04153229746897293,1.0454952163366376,0.03783553781400521,0.04557314466441412,False
value: 332,10227,396,9831,0.03872103256086829,0.9747270625769235,0.0351517812222495,0.04263668437209767,False
value: 348,10186,407,9779,0.03995680345572354,1.0058352034165774,0.036323467578557526,0.043937001843441285,False
value: 279,10169,411,9758,0.040416953486085164,1.017418589958091,0.03675964208658279,0.04442135952085123,False
value: 291,10167,445,9722,0.043769056752237634,1.1018013027624325,0.0399617472520059,0.047920997006632333,False
value: 295,10166,413,9753,0.04062561479441275,1.0226712345981812,0.03695827269830662,0.044639996279715724,False
value: 276,10166,375,9791,0.036887664764902614,0.9285755762090022,0.03339514256099156,0.040730050233126036,False
value: 274,10158,380,9778,0.037408938767473914,0.9416976404650449,0.0338901439019332,0.04127747821813673,False
value: 345,10157,385,9772,0.03790489317711923,0.9541823329671297,0.03436235981945697,0.04179683053469596,False
value: 318,10150,393,9757,0.038719211822660096,0.9746812290159872,0.035137165316937474,0.042650287050122554,False
value: 290,10139,381,9758,0.03757767038169445,0.94594513232711,0.034047690723803724,0.04145792197160938,False
value: 278,10131,389,9742,0.038396999309051424,0.9665701525248942,0.03482688707116305,0.04231703885973853,False
value: 304,10125,415,9710,0.04098765432098765,1.0317848790682858,0.03729675404308364,0.04502672413659937,False
value: 252,10120,386,9734,0.03814229249011858,0.9601584012616382,0.03458235218042276,0.04205273361941654,False
value: 334,10112,405,9707,0.04005142405063291,1.0082170937855985,0.03640107159613158,0.04405110454103495,False
value: 317,10109,411,9698,0.04065684043921258,1.0234572797787937,0.036978219443432554,0.044684433153615026,False
value: 298,10105,448,9657,0.04433448787728847,1.1160349371249456,0.04049135387729893,0.0485239365975079,False
value: 330,10104,415,9689,0.041072842438638166,1.0339293250758506,0.03737441319732537,0.045120099821874725,False
value: 263,10097,412,9685,0.04080419926710904,1.027166753105325,0.037116769077379236,0.044840903676485286,False
