bucket,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
[other: 60 pooled levels],747193,29510,717683,0.039494481345515815,0.9941971389683024,0.039055222548778634,0.0399384752077363,False
value: 164,12770,541,12229,0.04236491777603759,1.066454821297359,0.0390068962518071,0.0459981871697419,False
value: 148,12738,471,12267,0.036975977390485165,0.9307986756572728,0.03383609770079445,0.04039504556664308,False
value: 133,12719,569,12150,0.044736221401053544,1.1261478011593087,0.04127896082212002,0.048468401236617255,False
value: 109,12695,595,12100,0.046868846002363136,1.1798324984861708,0.04332728936826462,0.05068455121514895,False
value: 156,12678,462,12216,0.03644107903454804,0.9173336446708127,0.0333171672955514,0.03984582420166101,False
value: 166,12649,510,12139,0.04031939283737845,1.0149626894242527,0.037028637845834864,0.04388926997375153,False
value: 163,12641,432,12209,0.03417451151016534,0.8602771934591651,0.031146276680313056,0.03748577866390891,False
value: 101,12632,512,12120,0.04053198226725776,1.0203142169227881,0.03723040040302345,0.04411293254162895,False
value: 121,12626,577,12049,0.045699350546491366,1.1503927135680645,0.042192851896424924,0.049482206939096426,False
value: 140,12625,567,12058,0.04491089108910891,1.1305447725389277,0.0414345329541815,0.04866410851906001,False
value: 165,12621,576,12045,0.045638222010934155,1.1488539209800919,0.042133392174472394,0.04941955624003095,False
value: 120,12616,551,12065,0.043674698795180725,1.0994260237930955,0.04024524713292231,0.04738195978795082,False
value: 138,12612,462,12150,0.03663177925784967,0.9221341537532955,0.033491790683921,0.0400539543105177,False
value: 179,12611,521,12090,0.041313139322813414,1.0399783341173923,0.03797713116877991,0.044928505198881995,False
value: 157,12607,492,12115,0.03902593797096851,0.9824024662295407,0.03578350553778832,0.04254921016927857,False
value: 143,12602,427,12175,0.033883510553880336,0.852951807523734,0.030863931825141636,0.03718717461015596,False
value: 139,12599,526,12073,0.041749345186125886,1.0509589725897013,0.038394199380487944,0.04538384878988825,False
value: 147,12593,510,12083,0.04049868974827285,1.0194761421843386,0.03719357208621256,0.04408406105441644,False
value: 131,12587,429,12158,0.034082783824580916,0.857968126484101,0.031052486169256512,0.03739738365393301,False
value: 103,12586,485,12101,0.03853488002542507,0.9700410327356845,0.03531047358302635,0.04204089434372393,False
